문제번호,유형,문제,답,출처,영상,플랫폼,모델,작성자
1,단답형,데이터프레임의 앞에서부터 3개의 행으로 보여주는 함수를 적으시오.,df.head(3),Analyzing Data with Python, Importing and Exporting Data in Python,chatgpt,chatgpt,이한석
2,단답형,csv파일의 통계 요약 정보를 구하시오.,df.describe(include='all'),Analyzing Data with Python, Importing and Exporting Data in Python,chatgpt,chatgpt,이한석
3,단답형,데이터프레임의 데이터타입을 출력하시오.,df.types,Analyzing Data with Python,Getting Started Analyzing Data in Python,notebooklm,chatgpt,이한석
4,단답형,NaN이 포함된 행을 삭제해주시오.,df.dropna(),Analyzing Data with Python,Dealing with Missing Values in Python ,chatgpt,chatgpt,이한석
5,단답형,0부터 10까지 5개 구간 만드시오.,"np.linspace(0,10,5)",Analyzing Data with Python,Binning in Python,chatgpt,chatgpt,이한석
6,단답형,fuel열 같은 범주형 데이터를 0과 1로 이루어진 열 여러개로 바꾸시오.,pd.get_dummies(df['fuel']),Analyzing Data with Python,Turning Categorical Variables into Quantitative Variables in Python,chatgpt,chatgpt,이한석
7,단답형,1부터 10까지 랜덤한 수 5개 구하시오.,"random.sample(range(1, 11), 5)",Using Python for Research,Random Choice,chatgpt,chatgpt,이한석
8,단답형,"x=np.array([1,3,5])의 평균을 구하시오.",x.mean(),Using Python for Research,Objects,chatgpt,chatgpt,이한석
9,단답형,2차원 넘파이 배열을 만드시오.,"np.array([1,2,3],[4,5,6])",Using Python for Research,Slicing NumPy Arrays,chatgpt,chatgpt,이한석
10,단답형,pyplot에서 x축 이름을 X로 바꾸시오.,"plt.xlabel(""X"")",Using Python for Research,Customizing Your Plots,chatgpt,chatgpt,이한석
11,서술형,random.choice() 함수를 사용하여 동전 던지기나 주사위 굴리기 같은 실험을 시뮬레이션할 수 있는 이유는 무엇인가?," random.choice() 함수는 주어진 시퀀스(리스트, 문자열 등)에서 무작위로 하나의 요소를 선택해주는 함수이다. 내부적으로 균등 분포를 기반으로 동작한다.",Using Python for Research,Simulating Randomness,notebooklm,chatgpt,이한석
12,서술형,여러 개의 주사위를 굴려 나온 합의 분포를 히스토그램으로 시각화하면 어떤 확률 이론을 확인할 수 있는가? 그리고 왜 그런 현상이 발생하는지 설명하시오.,중심극한정리를 관찰할수 있다. 중심극한정리는 독립적인 확률 변수의 합이 정규 분포를 따른다는 이론이다.,Using Python for Research,Examples Using Randomness,notebooklm,chatgpt,이한석
13,서술형,NumPy의 random 모듈을 사용하면 Python의 기본 random 모듈보다 어떤 점에서 더 효율적인가?,NumPy의 random 모듈은 벡터화된 연산을 통해 한 번에 많은 수의 난수를 빠르게 생성할 수 있어서 성능이 뛰어나다,Using Python for Research,Using the NumPy Random Module,notebooklm,chatgpt,이한석
14,서술형,time 모듈을 활용하여 코드 실행 시간을 측정할 수 있다고 했다. 이 방법을 사용하는 이유와 기본적인 측정 과정을 설명하시오.,"time 모듈의 time.time() 함수를 사용하면 현재 시간을 초 단위로 반환하므로, 어떤 코드 실행 전후의 시간을 뺄셈하면 걸린 시간을 알 수 있다",Using Python for Research,Measuring Time,notebooklm,chatgpt,이한석
15,서술형,"2차원 랜덤 워크(Random Walk)를 시뮬레이션할 때 NumPy의 어떤 기능이 유용하게 사용되었는지 설명하고, 시뮬레이션의 주요 아이디어를 서술하시오.","2차원 랜덤 워크는 매 단계마다 무작위 방향으로 이동하는 과정을 누적한 것이다. NumPy의 np.cumsum() 함수는 누적 합계를 구할 수 있어 이 과정을 간단히 구현할 수 있다. 또한, np.random.normal()로 표준 정규 분포에서 난수를 생성해 이동 방향과 크기를 결정할 수 있다.",Using Python for Research,Random Walks,notebooklm,chatgpt,이한석
